pair_dir,prompt_a,prompt_b,variant,pixel_mse_to_A_full,pixel_l2_to_A_full,pixel_mse_to_B_full,pixel_l2_to_B_full,lpips_to_A_full,lpips_to_B_full,clip_align_to_prompt_A,clip_align_to_prompt_B,clip_semantic_margin_B_minus_A,b_survival_ratio_mse,a_dominance_ratio_mse
./ab_out_k27/dog/pair_00_A_fluffy_golden_retriever_wear__A_fluffy_black_labrador_wearin,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy black labrador wearing a red collar walks slowly on a sandy beach at sunset,B_from_step2,0.0461374931037426,2079.394287109375,0.12870670855045319,3472.50634765625,,,0.26046842336654663,0.308798611164093,0.04833018779754639,0.3584699944809531,2.7896337640419544
./ab_out_k27/dog/pair_00_A_fluffy_golden_retriever_wear__A_fluffy_black_labrador_wearin,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy black labrador wearing a red collar walks slowly on a sandy beach at sunset,B_from_step7,0.023103320971131325,1479.0692138671875,0.1369992047548294,3570.73046875,,,0.2871270775794983,0.31823253631591797,0.031105458736419678,0.1686383582479657,5.929848999891241
./ab_out_k27/dog/pair_01_A_fluffy_golden_retriever_wear__A_fluffy_golden_retriever_wear,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy golden retriever wearing a red collar walks slowly through a snowy pine forest at sunset,B_from_step2,0.10962479561567307,3231.069091796875,0.34157422184944153,5695.3046875,,,0.28101229667663574,0.28578662872314453,0.004774332046508789,0.3209398971096633,3.11584819776491
./ab_out_k27/dog/pair_01_A_fluffy_golden_retriever_wear__A_fluffy_golden_retriever_wear,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy golden retriever wearing a red collar walks slowly through a snowy pine forest at sunset,B_from_step7,0.029470600187778473,1671.0006103515625,0.4084608554840088,6238.69384765625,,,0.282298743724823,0.1919429451227188,-0.09035579860210419,0.07215036592149586,13.859943566856792
./ab_out_k27/dog/pair_02_A_fluffy_golden_retriever_wear__A_fluffy_golden_retriever_wear,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy golden retriever wearing a bright blue collar walks slowly on a sandy beach at sunset,B_from_step2,0.023429900407791138,1485.4305419921875,0.022791074588894844,1459.7747802734375,,,0.31695103645324707,0.3172776401042938,0.00032660365104675293,1.0280296489050835,0.9727345909381729
./ab_out_k27/dog/pair_02_A_fluffy_golden_retriever_wear__A_fluffy_golden_retriever_wear,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy golden retriever wearing a bright blue collar walks slowly on a sandy beach at sunset,B_from_step7,0.007122652605175972,820.1600952148438,0.020833715796470642,1404.389404296875,,,0.3208158314228058,0.32443010807037354,0.003614276647567749,0.34188104871731967,2.924993952580385
./ab_out_k27/dog/pair_03_A_fluffy_golden_retriever_wear__A_fluffy_golden_retriever_wear,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy golden retriever wearing a red collar runs fast across a sandy beach at sunset,B_from_step2,0.04351922869682312,2032.270751953125,0.07232015579938889,2621.03515625,,,0.3177839517593384,0.29710817337036133,-0.02067577838897705,0.6017579499903519,1.6617977378047653
./ab_out_k27/dog/pair_03_A_fluffy_golden_retriever_wear__A_fluffy_golden_retriever_wear,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy golden retriever wearing a red collar runs fast across a sandy beach at sunset,B_from_step7,0.02052524872124195,1395.648193359375,0.07895021140575409,2736.266357421875,,,0.3199770450592041,0.30432793498039246,-0.015649110078811646,0.25997712172998716,3.8464923118835137
./ab_out_k27/dog/pair_04_A_fluffy_golden_retriever_wear__A_short-haired_golden_retrieve,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A short-haired golden retriever wearing a red collar walks slowly on a sandy beach at sunset,B_from_step2,0.036012738943099976,1841.446533203125,0.020989088341593742,1412.9627685546875,,,0.3118104338645935,0.30766868591308594,-0.004141747951507568,1.715783856687768,0.5828239938860647
./ab_out_k27/dog/pair_04_A_fluffy_golden_retriever_wear__A_short-haired_golden_retrieve,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A short-haired golden retriever wearing a red collar walks slowly on a sandy beach at sunset,B_from_step7,0.00964262243360281,955.0385131835938,0.027369441464543343,1604.723876953125,,,0.31975919008255005,0.31440940499305725,-0.005349785089492798,0.35231345316617685,2.8383815350029415
./ab_out_k27/dog/pair_05_A_fluffy_golden_retriever_wear__A_watercolor_painting_of_a_gol,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A watercolor painting of a golden retriever wearing a red collar walking slowly on a sandy beach at sunset,B_from_step2,0.019697243347764015,1365.3826904296875,0.02562754787504673,1548.9073486328125,,,0.29792681336402893,0.2644476890563965,-0.033479124307632446,0.7685964901442253,1.3010728162606524
./ab_out_k27/dog/pair_05_A_fluffy_golden_retriever_wear__A_watercolor_painting_of_a_gol,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A watercolor painting of a golden retriever wearing a red collar walking slowly on a sandy beach at sunset,B_from_step7,0.007905538193881512,864.665283203125,0.03671007230877876,1850.57177734375,,,0.2793642282485962,0.24870915710926056,-0.030655071139335632,0.21535065709993165,4.643589267229208
./ab_out_k27/dog/pair_06_A_fluffy_golden_retriever_wear__A_fluffy_golden_retriever_wear,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach at sunset,A fluffy golden retriever wearing a red collar walks slowly on a sandy beach under bright midday sun,B_from_step2,0.09794645011425018,3047.72412109375,0.1652982234954834,3962.1640625,,,0.2821923494338989,0.2540319263935089,-0.028160423040390015,0.5925438764133267,1.6876387383378404
