pair_dir,prompt_a,prompt_b,variant,pixel_mse_to_A_full,pixel_l2_to_A_full,pixel_mse_to_B_full,pixel_l2_to_B_full,lpips_to_A_full,lpips_to_B_full,clip_align_to_prompt_A,clip_align_to_prompt_B,clip_semantic_margin_B_minus_A,b_survival_ratio_mse,a_dominance_ratio_mse
./ab_out/car/pair_00_A_red_vintage_convertible_with__A_red_vintage_motorcycle_with_,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage motorcycle with a black leather seat drives down a coastal highway at sunset,B_from_step5,0.04590991511940956,2093.48681640625,0.11718124151229858,3336.8232421875,,,0.27216053009033203,0.18927854299545288,-0.08288198709487915,0.39178553262376176,2.55241686262141
./ab_out/car/pair_00_A_red_vintage_convertible_with__A_red_vintage_motorcycle_with_,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage motorcycle with a black leather seat drives down a coastal highway at sunset,B_from_step10,0.022789491340517998,1476.6126708984375,0.117354616522789,3338.97119140625,,,0.311589777469635,0.2198386788368225,-0.0917510986328125,0.19419339448050196,5.149505742330516
./ab_out/car/pair_01_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior drives through a dense snowy mountain pass at sunset,B_from_step5,0.03554954752326012,1835.466064453125,0.20587293803691864,4441.92431640625,,,0.27810704708099365,0.28874146938323975,0.010634422302246094,0.17267712727199294,5.791154947955827
./ab_out/car/pair_01_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior drives through a dense snowy mountain pass at sunset,B_from_step10,0.013708931393921375,1140.786376953125,0.20781368017196655,4461.333984375,,,0.29684698581695557,0.2440040409564972,-0.052842944860458374,0.06596741553576832,15.158999210114395
./ab_out/car/pair_02_A_red_vintage_convertible_with__A_deep_navy_blue_vintage_conve,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A deep navy blue vintage convertible with a black leather interior drives down a coastal highway at sunset,B_from_step5,0.03241796791553497,1757.0224609375,0.08992744237184525,2915.256591796875,,,0.26594802737236023,0.2944863438606262,0.02853831648826599,0.36049026927162436,2.773999980694386
./ab_out/car/pair_02_A_red_vintage_convertible_with__A_deep_navy_blue_vintage_conve,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A deep navy blue vintage convertible with a black leather interior drives down a coastal highway at sunset,B_from_step10,0.006946911104023457,814.3120727539062,0.09525522589683533,2998.03759765625,,,0.2936926484107971,0.26958218216896057,-0.024110466241836548,0.07292944863253172,13.711882082623191
./ab_out/car/pair_03_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior sits parked on a coastal highway at sunset,B_from_step5,0.01991586945950985,1374.7354736328125,0.10511048883199692,3156.787109375,,,0.28771573305130005,0.28329306840896606,-0.004422664642333984,0.18947556690885844,5.27772533585304
./ab_out/car/pair_03_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior sits parked on a coastal highway at sunset,B_from_step10,0.009360131807625294,943.8300170898438,0.10513663291931152,3154.835205078125,,,0.29188764095306396,0.28815758228302,-0.0037300586700439453,0.08902826301094166,11.232388077447933
./ab_out/car/pair_04_A_red_vintage_convertible_with__A_rusty_weather-beaten_vintage,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A rusty weather-beaten vintage convertible with cracked leather interior drives down a coastal highway at sunset,B_from_step5,0.024389946833252907,1522.5184326171875,0.06597118824720383,2490.36181640625,,,0.2931503355503082,0.257107138633728,-0.0360431969165802,0.3697060410957001,2.7048516627867203
./ab_out/car/pair_04_A_red_vintage_convertible_with__A_rusty_weather-beaten_vintage,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A rusty weather-beaten vintage convertible with cracked leather interior drives down a coastal highway at sunset,B_from_step10,0.012315372005105019,1082.7591552734375,0.06803297996520996,2529.59716796875,,,0.2915363609790802,0.2558380961418152,-0.035698264837265015,0.18102061693318053,5.524232636822392
./ab_out/car/pair_05_A_red_vintage_convertible_with__An_oil_painting_of_a_red_vinta,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,An oil painting of a red vintage convertible with a black leather interior driving down a coastal highway at sunset,B_from_step5,0.02211162820458412,1451.450927734375,0.06223490461707115,2419.479248046875,,,0.2996710538864136,0.27762922644615173,-0.02204182744026184,0.3552930359680966,2.814578105296144
./ab_out/car/pair_05_A_red_vintage_convertible_with__An_oil_painting_of_a_red_vinta,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,An oil painting of a red vintage convertible with a black leather interior driving down a coastal highway at sunset,B_from_step10,0.007804132532328367,860.7904052734375,0.0681147426366806,2529.521728515625,,,0.3059319257736206,0.28641724586486816,-0.01951467990875244,0.11457332480803867,8.72803509608755
./ab_out/car/pair_06_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior drives down a coastal highway under bright midday sun,B_from_step5,0.02185584045946598,1443.105712890625,0.15535534918308258,3833.619873046875,,,0.298547625541687,0.28240838646888733,-0.016139239072799683,0.14068289617571772,7.108184627866674
./ab_out/car/pair_06_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior drives down a coastal highway under bright midday sun,B_from_step10,0.0063548218458890915,773.4890747070312,0.16319842636585236,3935.45166015625,,,0.30475419759750366,0.28603312373161316,-0.018721073865890503,0.03893923481616839,25.68103879598525
